index,date,ON
421,12-Jan-2016,0.02
422,13-Jan-2016,0.005
423,14-Jan-2016,0.025
424,15-Jan-2016,0.01850605010986328
425,18-Jan-2016,0.005
426,19-Jan-2016,0.015
427,20-Jan-2016,0.02
428,21-Jan-2016,-0.015
429,22-Jan-2016,-0.015
430,25-Jan-2016,-0.025
431,26-Jan-2016,0.01
432,27-Jan-2016,0.015
433,28-Jan-2016,0.04
434,29-Jan-2016,0.013966292142868042
435,1-Feb-2016,-0.01
436,2-Feb-2016,-0.01
437,3-Feb-2016,-0.01
438,4-Feb-2016,-0.02
439,5-Feb-2016,2.625925
440,8-Feb-2016,2.5939873684210526
441,9-Feb-2016,-0.01
442,10-Feb-2016,6.998870909090945
443,11-Feb-2016,7.077457272727271
444,12-Feb-2016,3.7605538368225098
445,15-Feb-2016,-0.01
446,16-Feb-2016,1.3228759765625
447,17-Feb-2016,0.01
448,18-Feb-2016,0.03
449,19-Feb-2016,0.03
450,22-Feb-2016,0.025
451,23-Feb-2016,0.03
452,24-Feb-2016,0.03
453,25-Feb-2016,0.005
454,26-Feb-2016,0.01
455,29-Feb-2016,0.01
456,1-Mar-2016,0.01
457,2-Mar-2016,0.02
458,3-Mar-2016,0.09
459,4-Mar-2016,0.015
460,7-Mar-2016,0.015
461,8-Mar-2016,0.005
462,9-Mar-2016,-0.01
463,10-Mar-2016,0.0018434524536132812
464,11-Mar-2016,-1.0645389556884766E-4
465,14-Mar-2016,0.015
466,15-Mar-2016,0.025
467,16-Mar-2016,0.02
468,17-Mar-2016,0.05
469,18-Mar-2016,0.03
470,21-Mar-2016,0.025
471,22-Mar-2016,0.03
472,23-Mar-2016,0.155
473,24-Mar-2016,0.03
474,25-Mar-2016,0.05
475,28-Mar-2016,0.03
476,29-Mar-2016,0.475
477,30-Mar-2016,0.645
478,31-Mar-2016,0.2
479,1-Apr-2016,0.04
480,4-Apr-2016,0.025
481,5-Apr-2016,0.025
482,6-Apr-2016,0.015
483,7-Apr-2016,0.035
484,8-Apr-2016,0.005
485,11-Apr-2016,0.027507781982421875
486,12-Apr-2016,0.02
487,13-Apr-2016,0.035
488,14-Apr-2016,0.08
489,15-Apr-2016,0.035
490,18-Apr-2016,0.03
491,19-Apr-2016,0.045
492,20-Apr-2016,0.115
493,21-Apr-2016,0.085
494,22-Apr-2016,0.025
495,25-Apr-2016,0.025
496,26-Apr-2016,0.03
497,27-Apr-2016,0.02
498,28-Apr-2016,0.08
499,29-Apr-2016,0.035
500,2-May-2016,0.035
501,3-May-2016,0.04
502,4-May-2016,0.06
503,5-May-2016,-0.015
504,6-May-2016,0.055
505,9-May-2016,0.05
506,10-May-2016,-0.025
507,11-May-2016,0.02
508,12-May-2016,0.07
509,13-May-2016,0.035
510,16-May-2016,0.045
511,17-May-2016,0.045
512,18-May-2016,0.03
513,19-May-2016,0.05
514,20-May-2016,0.03923485439736396
515,23-May-2016,0.035
516,24-May-2016,0.054822049678477924
517,25-May-2016,0.035
518,26-May-2016,0.115
519,27-May-2016,0.05
520,30-May-2016,0.055
521,31-May-2016,0.06
522,1-Jun-2016,0.07
523,2-Jun-2016,0.165
524,3-Jun-2016,0.03
525,6-Jun-2016,0.035
526,7-Jun-2016,0.07025360252009705
527,8-Jun-2016,0.09
528,9-Jun-2016,0.08
529,10-Jun-2016,0.04
530,13-Jun-2016,0.02
531,14-Jun-2016,0.013988971710205078
532,15-Jun-2016,0.015
533,16-Jun-2016,-0.005177497863769531
534,17-Jun-2016,-0.01
535,20-Jun-2016,0.005
536,21-Jun-2016,0.145263671875
537,22-Jun-2016,0.075
538,23-Jun-2016,0.1
539,24-Jun-2016,0.65
540,27-Jun-2016,0.07
541,28-Jun-2016,0.005
542,29-Jun-2016,0.095
543,30-Jun-2016,0.05
544,1-Jul-2016,0.02
545,4-Jul-2016,0.05
546,5-Jul-2016,0.205
547,6-Jul-2016,0.085
548,7-Jul-2016,0.245
549,8-Jul-2016,0.08
550,11-Jul-2016,0.025
551,12-Jul-2016,0.046375811100006104
552,13-Jul-2016,0.055
553,14-Jul-2016,0.035
554,15-Jul-2016,0.03
555,18-Jul-2016,0.035
556,19-Jul-2016,0.04
557,20-Jul-2016,0.045
558,21-Jul-2016,0.1
559,22-Jul-2016,0.00689697265625
560,25-Jul-2016,0.035
561,26-Jul-2016,0.10759353637695312
562,27-Jul-2016,0.045
